Tweets;Label
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/qxc5afu92a #debat2pilkadadki https:\/\/t.co\/siloahwe5h;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/5nh34zp1i1 #debat2pilkadadki https:\/\/t.co\/dzms8dmeyb;negatif
#ogahpilihterdakwa = panik karena terdakwa makin kuat bakal kepilih lagi... wkwkwkwk #debat2pilkadadki #ahok2djarot;negatif
wah, pak @basuki_btp kurang tepat ini datanya.. #debat2pilkadadki https:\/\/t.co\/4vr1ef63xf;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! spurs s... https:\/\/t.co\/cv6s0ocnbj #debat2pilkadadki https:\/\/t.co\/jmu1cahrjv;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/wwgtutty2m #debat2pilkadadki https:\/\/t.co\/qniuvvcjyy;negatif
menonton debat cagub dki: agus masih berkhayal;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! perinta... https:\/\/t.co\/ey2gkwtibl #debat2pilkadadki https:\/\/t.co\/dowb81q2u2;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja hujan dan pasang laut di... https:\/\/t.co\/mkzkftugxg #debat2pilkadadki #imlek;negatif
rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ;negatif
rt @ichakeljombar: seorang dosen yang seharusnya dikagumi karena cerdas otaknya, tapi seketika runtuh karena hobinya menjatuhkan orang lain\u2026;negatif
rt @sehan5: pk anis nyinggung kjp. rakyat jkt perlu tau nih. justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil. #debat2pil\u2026;negatif
rt @the_various: mengacungkan jari kebawah termasuk bagian dari rasis, dan itu dilakukan paslon 1, menurut sy itu attitude yg kurang baik,,\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/zozxs5cbse #debat2pilkadadki https:\/\/t.co\/dcxmfkrh9k;negatif
@enny_endah @jojobinjai kirain cm sy yg ngrasa. pas #debat2pilkadadki senyumnya sinis saat paslon 2 sdg bicara. mana brkacak pinggang pulak.;negatif
rt @nci4ri: pasca #debat2pilkadadki kena batunya, @agusyudhoyono dibentak kapolres jakarta selatan, karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! liverpo... https:\/\/t.co\/d5pinwirqg #debat2pilkadadki https:\/\/t.co\/srqaqkplcm;negatif
rt @suckersrod: dulu mengidolakan anies, skrg jujur knapa anies jd karakter jahat?? ada yg ngerasa sama? apa cmn gw? #debat2pilkadadki;negatif
rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ;negatif
rt @tweetparpol: ini harga per-berita wartawan yang dipelihara oleh pdip https:\/\/t.co\/e1s4uozeo7\n\n #debat2pilkadadki;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;negatif
rt @fredoriko_rival: paslon 1 = gak ngerti brarti nyerang \npaslon 2 = yg penting jakarta maju\npaslon 3 = yg penting banyak kata2.   mutiara\u2026;negatif
belum jd gubernur saja kelakuan sdh norak @agusyudhoyono gus2 didebat ngomongin kemacetan tp lu sndri bikin macet https:\/\/t.co\/cuef0sxatu;negatif
ya itulah mental baru sekelas danramil berlagak jenderal. https:\/\/t.co\/bcs1yeer3h;negatif
rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/vqfegyesdy #debat2pilkadadki https:\/\/t.co\/3vzzfki1f4;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rakyat jakarta kok byk yg milih paslon 1 ya smp ada di urutan ke2 gitu.. pdhl msh naif &amp;negatif
rt @istia_iis: @enny_endah @jojobinjai kirain cm sy yg ngrasa. pas #debat2pilkadadki senyumnya sinis saat paslon 2 sdg bicara. mana brkacak\u2026;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
rt @widino: #debat2pilkadadki skak mat untuk mpok silvi, si mpok langsung acung ibu jempol ke bawah. duhh jaga etika mpok malu ditonton jut\u2026;negatif
rt @drenattas: buruk attitude bu sylvi, dengar jawaban pak ahok, buat gestur jempol ke bawah. wow!  #debat2pilkadadki;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
rt @putrirosary: #debat2pilkadadki cara paslon 3 bertanya ke paslon 1 seperti sedang mengadu domba didepan jutaan pasang mata tanpa etika,\u2026;negatif
rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 ;negatif
"rt @hapsom: satu2nya statement agus yang saya setuju dan dimengerti, \"" bertanya kepada paslon 1, untuk menyerang no. 2... hahahaha! #debat2\u2026";negatif
aduh gw mah malu, di kata orang jkt goblok apa https:\/\/t.co\/te8nrgszzc;negatif
rt @jokoanwar: waduh. beneran kayaknya data dari ibu susanti. #debat2pilkadadki https:\/\/t.co\/ak4mdqpx4o;negatif
rt @jokoanwar: anies: \u201cnamanya sunda kelapa. tapi mana kelapanya?\u201d\n\n#debat2pilkadadki https:\/\/t.co\/cwy8xc9c4v;negatif
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026;negatif
#debat2pilkadadki semakin terlihat no 2 tidak layak memimpin. ada yg sdg berselisih malah diketawain dan diadu pula..;negatif
rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/ckwikzj8yr #debat2pilkadadki https:\/\/t.co\/egsrpxme9u;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/ww5gcbpco1 #debat2pilkadadki https:\/\/t.co\/85gavg2nqa;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/bwjy3zh9il #debat2pilkadadki https:\/\/t.co\/r9qkrvxr8g;negatif
rt @preettysintaa: paslon 1 : berangkat dari orang tua\npaslon2 : berangkat dari pengalaman\npaslon 3 : berangkat dari teori\n\n#debat2pilkadad\u2026;negatif
nah sekarang saya bisa membayangkan koruptor dirangkul, tikus berpesta, rumah kumuh dilukis... untung cuma bayangan\u2026 https:\/\/t.co\/t7duiaxt9y;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @nci4ri: pasca #debat2pilkadadki kena batunya, @agusyudhoyono dibentak kapolres jakarta selatan, karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026;negatif
rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ;negatif
#debat2pilkadadki gw bisa bayangin demo sepanjang tahun dgn kerugian materil-non materil jika no.2 msh nongol di dki. negara tdk kondusif;negatif
rt @nci4ri: pasca #debat2pilkadadki kena batunya, @agusyudhoyono dibentak kapolres jakarta selatan, karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026;negatif
rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/5wp4mmnegt #debat2pilkadadki https:\/\/t.co\/tfgiwg0nm0;negatif
"rt @asep_edwan_dvs: \""@su_bedjo: #debat2pilkadadki pak anies nyerang paslon 2 pakek data, tapi ternyata datanya hoax \ufffd\ufffd\u270c https:\/\/t.co\/pvmhf8\u2026";negatif
"rt @mommytsalisa: highlight tonite\n\nbu silvi : \""bla bla \ud83d\udca6\u2728\ud83d\udca5\""\npak anies : \""terus pertanyaannya apa?\nbu silvi : (dasar cowo gak peka)\n\n #deba\u2026";negatif
rt @savetodeclare: mau tipu public ya pak? @aniesbaswedan ckckck\nkatanya harus jadi teladan https:\/\/t.co\/k2ap6eyfjr;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
rt @hit_dx: di #debat2pilkadadki ini pak anies berbohong dan tidak pakai data;negatif
rt @maulabm: #debat2pilkadadki kali ini pak anies nyebelin, dari yang lalu bicaranya kaya ulama', sekarang keliatan jadi politikus yang hau\u2026;negatif
rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ;negatif
anggota kerabat, disebut keluarga... \/ jakarta berdebat, direbut naga2... #debat2pilkadadki;negatif
rt @jokoanwar: visi misi anies adalah penilaian buruk orang lain. #debat2pilkadadki https:\/\/t.co\/ztbqwdudvg;negatif
rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 ;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja kesan pasangan calon usa... https:\/\/t.co\/lm2bkddjtx #debat2pilkadadki #imlek;negatif
rt @laksmonohp: @susilobyudoyono \n@agusyudhoyono \nmemalukan!! memuakkan!!\nt'lps anda cagub, tpi prilaku anda tak pantas sbg anak ex\u2026 ;negatif
rt @unyilnerazuri: #debat2pilkadadki bingung https:\/\/t.co\/esf2n6bida;negatif
rt @suaraanies: ahok salah data di #debat2pilkadadki, peringkat kemdikbud ternyata bukan 22 #aniessandiokoce https:\/\/t.co\/d6vrj0tnbi;negatif
rt @sehan5: pk anis nyinggung kjp. rakyat jkt perlu tau nih. justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil. #debat2pil\u2026;negatif
rt @sosialisri: itulah tipuan &amp;negatif
rt @batack_overkill: #debat2pilkadadki paslon 3 : akan menaikkan gaji guru paud jika terpilih. waktu jadi mendikbud ente ngapain bray? tidu\u2026;negatif
#debat2pilkadadki  tiap debat isinya  .\n kami akan  akan akan  akan akan  .akan .. pilih yg sudah;negatif
@mohamadhalimi6 ogah pilih koruptor masjid #debat2pilkadadk;negatif
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026;negatif
rt @sosialisri: itulah tipuan &amp;negatif
wong debat serius kok malah digawe meme. uripmu kakean guyon ndes ! situ sehat ? #debat2pilkadadki;negatif
rt @misteeerius: tetep, nggak ada solusinya. https:\/\/t.co\/ftguv0uksy;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
#debat2pilkadadki #ogahpilihterdakwa maling bansos,maling dana pembangunan masjid pa lagi anak maling uang negara https:\/\/t.co\/5psczyfepo;negatif
rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 ;negatif
rt @erixputra: jadi pertanyaannya apa? dan ahok pun joged, #debat2pilkadadki https:\/\/t.co\/ricyfbyogv;negatif
rt @agungwidrajat: #debat2pilkadadki #ogahpilihterdakwa maling bansos,maling dana pembangunan masjid pa lagi anak maling uang negara https:\u2026;negatif
